,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
511,21500512,46,39,0.541176470588,37,38,0.527777777778,34,27
512,21500513,31,53,0.369047619048,53,40,0.43956043956,51,48
513,21500514,41,45,0.476744186047,54,36,0.444444444444,45,30
514,21500515,32,56,0.363636363636,52,34,0.373626373626,57,55
515,21500516,35,40,0.466666666667,35,47,0.534090909091,41,44
516,21500517,39,50,0.438202247191,39,40,0.449438202247,49,48
517,21500518,27,45,0.375,44,32,0.477611940299,35,34
518,21500519,27,44,0.380281690141,42,34,0.377777777778,56,52
519,21500520,35,42,0.454545454545,37,37,0.435294117647,48,41
520,21500521,36,50,0.418604651163,41,36,0.45,44,46
521,21500522,45,37,0.548780487805,45,46,0.450980392157,56,43
522,21500523,40,53,0.430107526882,55,44,0.458333333333,52,49
523,21500524,28,62,0.311111111111,52,39,0.458823529412,46,53
524,21500525,35,45,0.4375,35,34,0.523076923077,31,34
525,21500526,32,47,0.405063291139,39,31,0.413333333333,44,42
526,21500527,41,34,0.546666666667,33,45,0.523255813953,41,44
527,21500528,33,57,0.366666666667,39,31,0.430555555556,41,47
528,21500529,30,47,0.38961038961,39,33,0.423076923077,45,49
529,21500530,28,45,0.383561643836,40,28,0.35,52,46
530,21500531,31,58,0.348314606742,51,37,0.425287356322,50,52
531,21500532,50,34,0.595238095238,38,37,0.46835443038,42,34
532,21500533,41,43,0.488095238095,39,36,0.423529411765,49,44
533,21500534,36,45,0.444444444444,52,34,0.38202247191,55,39
534,21500535,35,48,0.421686746988,49,42,0.506024096386,41,42
535,21500536,36,47,0.433734939759,43,47,0.522222222222,43,48
536,21500537,37,55,0.402173913043,54,35,0.357142857143,63,51
537,21500538,36,36,0.5,41,35,0.466666666667,40,35
538,21500539,44,37,0.543209876543,37,40,0.547945205479,33,32
539,21500540,33,51,0.392857142857,35,29,0.414285714286,41,47
540,21500541,27,44,0.380281690141,41,33,0.397590361446,50,49
541,21500542,25,52,0.324675324675,43,32,0.367816091954,55,59
542,21500543,36,43,0.455696202532,33,41,0.518987341772,38,43
543,21500544,28,52,0.35,37,36,0.444444444444,45,54
544,21500545,37,43,0.4625,43,35,0.416666666667,49,42
545,21500546,38,52,0.422222222222,49,37,0.411111111111,53,44
546,21500547,38,52,0.422222222222,46,31,0.455882352941,37,41
547,21500548,37,58,0.389473684211,45,44,0.517647058824,41,48
548,21500549,39,44,0.469879518072,34,44,0.5,44,45
549,21500550,39,51,0.433333333333,47,30,0.361445783133,53,47
550,21500551,49,45,0.521276595745,40,32,0.405063291139,47,46
551,21500552,37,36,0.506849315068,37,42,0.552631578947,34,27
552,21500553,42,49,0.461538461538,47,36,0.45,44,38
553,21500554,39,41,0.4875,35,41,0.546666666667,34,37
554,21500555,36,32,0.529411764706,37,34,0.414634146341,48,39
555,21500556,43,49,0.467391304348,34,49,0.563218390805,38,48
556,21500557,33,46,0.417721518987,38,36,0.467532467532,41,39
557,21500558,41,47,0.465909090909,47,40,0.4,60,56
558,21500559,34,42,0.447368421053,48,32,0.367816091954,55,51
559,21500560,30,53,0.361445783133,58,36,0.413793103448,51,39
560,21500561,38,50,0.431818181818,49,43,0.477777777778,47,39
561,21500562,38,45,0.457831325301,43,30,0.384615384615,48,42
562,21500563,29,45,0.391891891892,44,29,0.353658536585,53,40
563,21500564,42,58,0.42,52,36,0.48,39,42
564,21500565,28,60,0.318181818182,41,28,0.424242424242,38,45
565,21500566,31,40,0.43661971831,30,43,0.530864197531,38,40
566,21500567,31,47,0.397435897436,44,47,0.479591836735,51,43
567,21500568,39,45,0.464285714286,49,37,0.425287356322,50,47
568,21500569,40,38,0.512820512821,41,36,0.404494382022,53,45
569,21500570,37,53,0.411111111111,41,40,0.47619047619,44,49
570,21500571,36,38,0.486486486486,39,40,0.47619047619,44,42
571,21500572,31,39,0.442857142857,31,33,0.428571428571,44,42
572,21500573,43,50,0.462365591398,40,32,0.390243902439,50,57
573,21500574,36,45,0.444444444444,45,39,0.464285714286,45,41
574,21500575,35,40,0.466666666667,44,39,0.40625,57,46
575,21500576,30,55,0.352941176471,47,38,0.417582417582,53,51
576,21500577,36,46,0.439024390244,54,28,0.354430379747,51,37
577,21500578,36,46,0.439024390244,30,36,0.514285714286,34,47
578,21500579,44,41,0.517647058824,45,37,0.425287356322,50,47
579,21500580,38,50,0.431818181818,49,33,0.379310344828,54,48
580,21500581,37,38,0.493333333333,39,35,0.454545454545,42,43
581,21500582,38,44,0.463414634146,54,32,0.390243902439,50,41
582,21500583,37,50,0.425287356322,49,42,0.477272727273,46,39
583,21500584,37,49,0.43023255814,54,29,0.391891891892,45,38
584,21500585,40,43,0.481927710843,52,41,0.414141414141,58,45
585,21500586,39,54,0.41935483871,43,31,0.442857142857,39,49
586,21500587,39,51,0.433333333333,34,38,0.447058823529,47,53
587,21500588,44,53,0.453608247423,46,37,0.411111111111,53,47
588,21500589,33,39,0.458333333333,29,34,0.492753623188,35,35
589,21500590,33,45,0.423076923077,45,37,0.456790123457,44,43
590,21500591,32,48,0.4,38,32,0.444444444444,40,54
591,21500592,40,43,0.481927710843,47,37,0.425287356322,50,47
592,21500593,36,42,0.461538461538,35,50,0.515463917526,47,54
593,21500594,46,42,0.522727272727,40,32,0.385542168675,51,45
594,21500595,40,54,0.425531914894,56,35,0.393258426966,54,45
595,21500596,36,47,0.433734939759,46,45,0.494505494505,46,42
596,21500597,30,55,0.352941176471,47,28,0.373333333333,47,43
597,21500598,40,44,0.47619047619,38,39,0.469879518072,44,38
598,21500599,39,56,0.410526315789,60,43,0.43,57,43
599,21500600,31,46,0.402597402597,37,38,0.481012658228,41,42
600,21500601,26,48,0.351351351351,40,33,0.383720930233,53,49
601,21500602,43,35,0.551282051282,40,34,0.435897435897,44,36
602,21500603,32,54,0.372093023256,35,38,0.535211267606,33,46
603,21500604,37,49,0.43023255814,42,39,0.443181818182,49,47
604,21500605,45,54,0.454545454545,57,34,0.36170212766,60,47
605,21500606,40,34,0.540540540541,45,33,0.383720930233,53,38
606,21500607,35,43,0.448717948718,44,35,0.454545454545,42,36
607,21500608,38,42,0.475,51,28,0.32183908046,59,44
608,21500609,38,58,0.395833333333,46,35,0.466666666667,40,52
609,21500610,39,30,0.565217391304,41,35,0.432098765432,46,30
610,21500611,39,48,0.448275862069,44,27,0.391304347826,42,36
611,21500612,36,48,0.428571428571,51,29,0.358024691358,52,45
612,21500613,42,45,0.48275862069,42,48,0.585365853659,34,33
613,21500614,36,45,0.444444444444,36,43,0.477777777778,47,51
614,21500615,39,54,0.41935483871,53,44,0.435643564356,57,51
615,21500616,41,47,0.465909090909,50,41,0.405940594059,60,49
616,21500617,33,40,0.452054794521,35,41,0.5,41,48
617,21500618,35,40,0.466666666667,40,35,0.479452054795,38,34
618,21500619,40,53,0.430107526882,50,42,0.512195121951,40,38
