,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS,MOV,QTR1_MOV,QTR2_MOV,QTR3_MOV,HOME_HALFTIME,AWAY_HALFTIME,HALFTIME_MOV,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS,HALFTIME_FG_DIFF,HALFTIME_REBOUNDS_DIFF
82,2015-11-06,21500083,1610612744,GSW,6-0,40,34,25,20,0,0,0,0,119,1610612743,DEN,2-4,23,21,31,29,0,0,0,0,104,15,17,13,-6,74,44,30,45,47,0.489130434783,53,37,0.411111111111,53,44,0.078019323672,9
83,2015-11-06,21500084,1610612758,SAC,1-5,23,27,28,32,0,0,0,0,110,1610612745,HOU,3-3,29,32,24,31,0,0,0,0,116,-6,-6,-5,4,50,61,-11,39,53,0.423913043478,43,39,0.481481481481,42,49,-0.057568438003,-6
84,2015-11-07,21500085,1610612741,CHI,4-3,28,29,20,16,0,0,0,0,93,1610612750,MIN,3-2,30,28,18,17,9,0,0,0,102,-9,-2,1,2,57,58,-1,33,60,0.354838709677,50,39,0.40625,57,58,-0.051411290323,-8
85,2015-11-07,21500086,1610612737,ATL,7-1,19,22,34,39,0,0,0,0,114,1610612764,WAS,3-3,19,26,33,21,0,0,0,0,99,15,0,-4,1,41,45,-4,43,49,0.467391304348,39,38,0.487179487179,40,41,-0.019788182831,-2
86,2015-11-07,21500087,1610612755,PHI,0-6,17,27,29,24,0,0,0,0,97,1610612753,ORL,3-4,25,26,30,24,0,0,0,0,105,-8,-8,1,-1,44,51,-7,36,44,0.45,38,38,0.463414634146,44,41,-0.013414634146,-3
87,2015-11-07,21500088,1610612742,DAL,3-3,26,16,30,35,0,0,0,0,107,1610612740,NOP,0-6,21,27,22,28,0,0,0,0,98,9,5,-11,8,42,48,-6,34,44,0.435897435897,42,39,0.453488372093,47,42,-0.017590936196,0
88,2015-11-07,21500089,1610612749,MIL,4-3,18,26,23,27,0,0,0,0,94,1610612751,BKN,0-7,24,20,17,25,0,0,0,0,86,8,-6,6,6,44,44,0,37,45,0.451219512195,41,32,0.4,48,52,0.051219512195,-11
89,2015-11-07,21500090,1610612759,SAS,4-2,29,22,42,21,0,0,0,0,114,1610612766,CHA,2-4,21,26,29,18,0,0,0,0,94,20,8,-4,13,51,47,4,42,36,0.538461538462,42,33,0.458333333333,39,33,0.080128205129,9
90,2015-11-07,21500091,1610612762,UTA,4-2,21,30,26,12,0,0,0,0,89,1610612763,MEM,3-4,19,19,19,22,0,0,0,0,79,10,2,11,7,51,38,13,31,43,0.418918918919,49,30,0.32967032967,61,44,0.089248589249,5
91,2015-11-07,21500092,1610612758,SAC,1-6,14,24,30,26,0,0,0,0,94,1610612744,GSW,7-0,20,26,26,31,0,0,0,0,103,-9,-6,-2,4,38,46,-8,38,49,0.436781609195,45,37,0.406593406593,54,46,0.030188202602,-1
92,2015-11-07,21500093,1610612746,LAC,4-2,32,26,20,27,0,0,0,0,105,1610612745,HOU,4-3,32,24,27,26,0,0,0,0,109,-4,0,2,-7,58,56,2,40,46,0.46511627907,41,38,0.441860465116,48,47,0.023255813954,-6
93,2015-11-08,21500094,1610612739,CLE,6-1,24,23,27,27,0,0,0,0,101,1610612754,IND,3-4,22,20,31,24,0,0,0,0,97,4,2,3,-4,47,42,5,35,45,0.4375,48,37,0.420454545455,51,47,0.017045454545,1
94,2015-11-08,21500095,1610612752,NYK,3-4,25,20,26,28,0,0,0,0,99,1610612747,LAL,1-5,25,24,21,25,0,0,0,0,95,4,0,-4,5,45,49,-4,33,51,0.392857142857,52,35,0.376344086022,58,46,0.016513056835,6
